,nom_mun,qtd_dom,qtd_dom_E1,qtd_dom_E2,qtd_dom_T1,qtd_0a11,qtd_0a11_pob_vul
2371,Cana Verde,1849,14,41,15,899,281
2372,Candeias,5090,50,95,67,1945,903
2373,Cantagalo,1191,65,121,41,851,622
2374,Caparaó,1591,95,72,65,1101,789
2375,Capela Nova,1454,36,89,28,702,510
2376,Capelinha,10020,423,564,306,7836,4694
2377,Capetinga,2347,33,58,29,1275,436
2378,Capim Branco,2691,27,110,24,1541,704
2379,Capinópolis,5057,50,68,30,2640,606
2380,Capitão Andrade,1583,30,49,33,1017,561
2381,Capitão Enéas,3678,191,278,53,3205,2126
2382,Capitólio,2795,21,54,36,1235,411
2383,Caputira,2649,109,160,72,1836,1301
2384,Caraí,5871,364,661,265,5365,4249
2385,Caranaíba,909,19,79,11,547,335
2386,Carandaí,6888,85,123,99,3905,1262
2387,Carangola,11158,136,169,197,5382,1946
2388,Caratinga,27248,660,457,319,15173,5401
2389,Carbonita,3005,19,140,58,1751,812
2390,Careaçu,1996,20,42,6,1132,330
2391,Carlos Chagas,6308,203,312,101,3364,1434
2392,Carmésia,752,10,44,19,467,263
2393,Carmo da Cachoeira,3518,89,201,42,2275,1059
2394,Carmo da Mata,3537,77,56,24,1714,508
2395,Carmo de Minas,3957,66,163,32,2709,1194
2396,Carmo do Cajuru,6380,42,111,75,3325,685
2397,Carmo do Paranaíba,10138,154,207,130,4830,1267
2398,Carmo do Rio Claro,6653,88,27,82,3328,1185
2399,Carmópolis de Minas,5055,105,131,173,2833,943
2400,Carneirinho,3286,43,51,61,1535,595
2401,Carrancas,1233,22,36,17,656,288
2402,Carvalhópolis,1101,5,29,18,579,187
2403,Carvalhos,1537,56,69,13,622,379
2404,Casa Grande,615,20,21,6,377,228
2405,Cascalho Rico,1045,14,18,18,466,247
2406,Cássia,5809,89,123,78,2888,925
2407,Conceição da Barra de Minas,1215,40,22,7,643,316
2408,Cataguases,23334,165,418,43,10406,2424
2409,Catas Altas,1438,10,44,9,896,250
2410,Catas Altas da Noruega,910,30,94,34,609,470
2411,Catuji,1796,111,263,63,1642,1351
2412,Catuti,1488,48,73,68,1037,799
2413,Caxambu,7190,68,140,39,3337,841
2414,Cedro do Abaeté,445,8,12,9,197,111
2415,Central de Minas,2330,52,74,42,1149,457
2416,Centralina,3245,99,74,57,1667,856
2417,Chácara,965,7,39,1,427,222
2418,Chalé,1829,59,73,60,979,638
2419,Chapada do Norte,3705,180,516,81,3402,2787
2420,Chapada Gaúcha,2563,121,282,197,2695,2040
2421,Chiador,885,14,42,4,495,206
2422,Cipotânea,1840,127,114,71,1052,794
2423,Claraval,1445,45,48,31,830,385
2424,Claro dos Poções,2420,65,54,63,1327,772
2425,Cláudio,7835,91,165,69,4369,982
2426,Coimbra,2366,31,92,38,1198,606
2427,Coluna,2533,171,226,87,1924,1531
2428,Comendador Gomes,1002,15,12,34,562,301
2429,Comercinho,2399,89,204,121,1617,1290
2430,Conceição da Aparecida,3211,56,46,57,1778,972
2431,Conceição das Pedras,855,23,22,0,415,201
2432,Conceição das Alagoas,7181,53,236,47,4530,1385
2433,Conceição de Ipanema,1458,31,29,56,729,540
2434,Conceição do Mato Dentro,5122,145,396,132,3649,2419
2435,Conceição do Pará,1654,36,20,22,886,319
2436,Conceição do Rio Verde,4038,119,159,47,2448,998
2437,Conceição dos Ouros,3226,18,46,29,1893,508
2438,Cônego Marinho,1829,73,194,106,1448,1222
2439,Confins,1714,27,50,10,992,354
2440,Congonhal,3481,61,72,78,1550,468
2441,Congonhas,14143,63,310,37,8305,2008
2442,Congonhas do Norte,1449,91,117,17,979,737
2443,Conquista,2120,12,40,10,1094,283
2444,Conselheiro Lafaiete,35450,310,667,122,18375,3296
2445,Conselheiro Pena,7533,128,292,100,4016,1592
2446,Consolação,563,21,8,17,269,162
2447,Contagem,187429,1310,2115,588,100940,15460
2448,Coqueiral,2894,45,103,20,1606,729
2449,Coração de Jesus,7767,356,327,434,5022,3910
2450,Cordisburgo,2716,79,81,33,1322,873
2451,Cordislândia,1095,23,41,13,650,247
2452,Corinto,7429,129,290,29,4385,2067
2453,Coroaci,2997,124,179,78,1831,1321
2454,Coromandel,9761,135,245,117,4321,1708
2455,Coronel Fabriciano,31912,330,549,127,17752,4474
2456,Coronel Murta,2538,53,111,67,1690,1152
2457,Coronel Pacheco,927,11,42,6,436,200
2458,Coronel Xavier Chaves,996,17,59,9,529,257
2459,Córrego Danta,1216,13,23,2,512,247
2460,Córrego do Bom Jesus,1299,16,19,6,522,238
2461,Córrego Fundo,1818,30,37,10,958,389
2462,Córrego Novo,998,20,18,19,581,264
2463,Couto de Magalhães de Minas,1234,22,42,2,770,262
2464,Crisólita,1757,98,120,48,1356,943
2465,Cristais,3749,99,69,31,1947,647
2466,Cristália,1489,89,101,34,1606,1150
2467,Cristiano Otoni,1417,13,45,10,934,368
2468,Cristina,3131,65,98,66,1699,891
2469,Crucilândia,1614,27,63,45,748,332
2470,Cruzeiro da Fortaleza,1246,26,44,7,732,254
2471,Cruzília,4572,43,181,67,2364,760
2472,Cuparaque,1571,29,41,20,887,366
2473,Curral de Dentro,1961,79,171,27,1557,1049
2474,Curvelo,23067,295,760,181,13102,5107
2475,Datas,1408,60,113,53,997,517
2476,Delfim Moreira,2446,98,146,68,1331,778
2477,Delfinópolis,2250,45,40,21,1234,417
2478,Delta,2619,53,80,20,1753,440
2479,Descoberto,1596,37,40,12,767,238
2480,Desterro de Entre Rios,2363,44,72,29,1005,544
2481,Desterro do Melo,971,18,60,36,421,259
2482,Diamantina,13031,313,615,210,8285,3850
2483,Diogo de Vasconcelos,1182,53,95,28,701,540
2484,Dionísio,2660,20,50,11,1361,564
2485,Divinésia,1043,30,24,18,593,272
2486,Divino,6170,222,276,236,3870,2449
2487,Divino das Laranjeiras,1602,23,51,17,885,434
2488,Divinolândia de Minas,1929,80,129,68,1358,814
2489,Divinópolis,67413,367,502,227,32883,4424
2490,Divisa Alegre,1650,52,141,57,1433,951
2491,Divisa Nova,1788,47,33,25,1081,422
2492,Divisópolis,2423,115,279,33,1796,1311
2493,Dom Bosco,1247,17,43,42,752,489
2494,Dom Cavati,1713,31,24,21,886,356
2495,Dom Joaquim,1336,64,94,39,835,511
2496,Dom Silvério,1727,21,17,21,690,329
2497,Dom Viçoso,972,12,13,9,460,200
2498,Dona Euzébia,1896,48,83,55,992,402
2499,Dores de Campos,3027,68,71,57,1480,369
2500,Dores de Guanhães,1488,59,121,36,973,777
2501,Dores do Indaiá,5056,68,68,36,2072,526
2502,Dores do Turvo,1376,71,93,11,749,541
2503,Doresópolis,495,2,14,1,232,73
2504,Douradoquara,672,11,5,25,280,99
2505,Durandé,2192,151,101,178,1571,1181
2506,Elói Mendes,7784,166,216,156,4567,1635
2507,Engenheiro Caldas,3208,77,128,71,2093,942
2508,Engenheiro Navarro,2062,58,108,51,1391,918
2509,Entre Folhas,1649,59,54,26,905,491
2510,Entre Rios de Minas,4306,58,145,38,2190,935
2511,Ervália,5734,240,247,178,3165,2020
2512,Esmeraldas,17792,681,880,238,12679,6997
2513,Espera Feliz,7512,237,285,286,4250,2465
2514,Espinosa,8542,523,526,376,5808,4541
2515,Espírito Santo do Dourado,1453,44,20,39,603,322
2516,Estiva,3430,82,59,114,1657,749
2517,Estrela Dalva,827,2,40,10,381,193
2518,Estrela do Indaiá,1233,22,49,9,540,307
2519,Estrela do Sul,2476,40,63,30,1261,457
2520,Eugenópolis,3620,56,82,29,1636,617
2521,Ewbank da Câmara,1092,0,14,0,688,127
2522,Extrema,9160,71,138,21,4781,1025
2523,Fama,822,17,24,12,343,155
2524,Faria Lemos,1127,13,37,26,596,310
2525,Felício dos Santos,1494,53,195,69,1082,901
2526,São Gonçalo do Rio Preto,877,31,84,35,597,400
2527,Felisburgo,2053,67,182,59,1362,798
2528,Felixlândia,4561,90,268,71,2578,1594
2529,Fernandes Tourinho,983,28,44,4,549,283
2530,Ferros,3409,147,231,77,2001,1680
2531,Fervedouro,3121,113,230,67,2181,1588
2532,Florestal,2059,28,72,25,1091,405
2533,Formiga,21841,214,162,94,9219,1493
2534,Formoso,2250,102,158,103,1759,1301
2535,Fortaleza de Minas,1391,28,28,9,733,232
2536,Fortuna de Minas,822,9,18,14,469,236
2537,Francisco Badaró,2823,91,237,95,1711,1326
2538,Francisco Dumont,1506,88,83,16,1020,746
2539,Francisco Sá,7212,232,366,164,4855,3313
2540,Franciscópolis,1667,82,162,71,1253,846
2541,Frei Gaspar,1710,65,140,36,1260,875
2542,Frei Inocêncio,2733,45,165,39,1877,920
2543,Frei Lagonegro,904,60,122,8,659,560
2544,Fronteira,4673,64,59,79,2748,582
2545,Fronteira dos Vales,1407,58,65,28,973,631
2546,Fruta de Leite,1592,152,191,64,1467,1286
2547,Frutal,18219,180,272,105,8491,2414
2548,Funilândia,1203,34,50,3,749,370
2549,Galiléia,2292,63,64,41,1328,619
2550,Gameleiras,1485,54,97,35,936,782
2551,Glaucilândia,854,24,22,3,541,382
2552,Goiabeira,1058,19,26,9,579,241
2553,Goianá,1215,6,35,15,582,242
2554,Gonçalves,1383,16,37,27,690,385
2555,Gonzaga,1529,60,111,34,1186,775
2556,Gouveia,3377,71,138,30,1910,863
2557,Governador Valadares,83051,830,1509,418,47619,10978
2558,Grão Mogol,3930,256,421,184,3161,2403
2559,Grupiara,507,5,8,4,210,62
2560,Guanhães,9405,225,481,136,5645,2588
2561,Guapé,4461,51,97,46,2325,941
2562,Guaraciaba,2977,102,157,111,1552,1122
2563,Guaraciama,1440,27,23,40,839,453
2564,Guaranésia,6112,55,125,53,2940,773
2565,Guarani,2746,74,97,25,1332,618
2566,Guarará,1269,12,31,7,655,234
2567,Guarda-Mor,2098,55,75,23,1247,746
2568,Guaxupé,15800,177,273,81,7545,1632
2569,Guidoval,2318,41,54,51,1133,418
2570,Guimarânia,2261,35,73,39,1333,440
2571,Guiricema,2924,58,55,64,1244,756
