municipio,domicilios,domicilios_crianca_fora_da_escola,domicilios_crianca_com_atraso_escolar,domicilios_com_trabalho_infantil,criancas_ate_11_anos,criancas_ate_11_anos_pobres_vulneraveis
Presidente Kubitschek,765,15,46,12,668,281
Presidente Olegário,6433,72,69,136,3051,1157
Alto Jequitibá,2778,104,78,97,1465,966
Prudente de Morais,2703,41,58,17,1715,641
Quartel Geral,1129,27,49,5,624,317
Queluzito,602,8,14,4,234,107
Raposos,4379,59,50,11,2556,411
Raul Soares,7810,109,279,166,3818,2206
Recreio,3533,42,52,14,1521,464
Reduto,1953,88,108,81,1357,789
Resende Costa,3585,111,141,161,1649,868
Resplendor,5880,94,216,46,2996,1499
Ressaquinha,1474,26,58,14,763,422
Riachinho,2408,85,164,93,1671,1198
Riacho dos Machados,2313,142,213,146,1997,1612
Ribeirão das Neves,89483,1328,1945,411,59422,18059
Ribeirão Vermelho,1225,2,11,1,568,120
Rio Acima,2635,55,91,15,1582,475
Rio Casca,4387,91,217,61,2574,1244
Rio Doce,778,7,25,13,365,144
Rio do Prado,1553,45,130,27,1009,641
Rio Espera,1842,53,100,73,1037,753
Rio Manso,1698,33,86,40,774,475
Rio Novo,2852,27,97,20,1395,672
Rio Paranaíba,3946,60,86,76,2015,929
Rio Pardo de Minas,7596,365,714,501,6157,4696
Rio Piracicaba,4404,27,132,20,2313,850
Rio Pomba,5546,76,103,72,2624,679
Rio Preto,1794,21,87,10,861,416
Rio Vermelho,3813,234,501,195,3070,2449
Ritápolis,1691,23,70,3,680,333
Rochedo de Minas,703,12,12,20,365,157
Rodeiro,2092,31,20,7,1217,241
Romaria,1150,11,15,4,626,243
Rosário da Limeira,1433,23,85,30,691,402
Rubelita,2238,101,131,47,1584,1224
Rubim,3090,85,213,47,1803,1116
Sabará,36693,329,604,183,23033,5458
Sabinópolis,4700,153,336,141,3082,1786
Sacramento,7768,106,85,72,4024,1208
Salinas,11863,234,481,160,6993,3151
Salto da Divisa,1984,58,146,10,1507,956
Santa Bárbara,8043,132,137,56,5042,1585
Santa Bárbara do Leste,2376,114,152,94,1450,968
Santa Bárbara do Monte Verde,946,19,52,5,492,215
Santa Bárbara do Tugúrio,1385,37,63,16,735,399
Santa Cruz de Minas,2524,14,38,8,1386,253
Santa Cruz de Salinas,1284,33,129,80,885,646
Santa Cruz do Escalvado,1573,23,82,26,837,538
Santa Efigênia de Minas,1327,79,62,33,964,655
Santa Fé de Minas,1165,78,106,52,887,745
Santa Helena de Minas,1616,99,138,70,1517,1053
Santa Juliana,3469,55,71,27,2062,466
Santa Luzia,59007,757,1114,197,39302,9834
Santa Margarida,4331,285,238,143,3187,2249
Santa Maria de Itabira,2924,78,138,38,1892,1083
Santa Maria do Salto,1602,24,87,89,956,563
Santa Maria do Suaçuí,4312,217,311,108,3041,1991
Santana da Vargem,2205,39,70,26,1360,668
Santana de Cataguases,1214,4,16,7,534,153
Santana de Pirapama,2553,43,130,105,1322,933
Santana do Deserto,1175,44,38,5,639,222
Santana do Garambéu,667,5,22,14,363,153
Santana do Jacaré,1543,18,29,10,738,297
Santana do Manhuaçu,2571,169,125,158,1792,1262
Santana do Paraíso,7925,242,276,102,5531,1748
Santana do Riacho,1312,26,54,10,669,416
Santana dos Montes,1152,33,62,30,665,381
Santa Rita de Caldas,3159,59,41,33,1251,681
Santa Rita de Jacutinga,1788,14,83,33,670,295
Santa Rita de Minas,2062,66,73,29,1246,595
Santa Rita de Ibitipoca,1098,11,65,13,644,308
Santa Rita do Itueto,1788,86,80,65,1057,762
Santa Rita do Sapucaí,11526,116,220,57,6658,1731
Santa Rosa da Serra,1083,12,28,39,612,277
Santa Vitória,6214,118,160,96,2924,964
Santo Antônio do Amparo,5087,70,104,24,3206,816
Santo Antônio do Aventureiro,1205,22,59,18,543,336
Santo Antônio do Grama,1240,17,59,26,655,280
Santo Antônio do Itambé,1075,65,202,87,984,832
Santo Antônio do Jacinto,3590,164,339,165,2294,1659
Santo Antônio do Monte,8529,177,57,155,4552,1075
Santo Antônio do Retiro,1798,118,149,69,1560,1212
Santo Antônio do Rio Abaixo,533,10,24,10,325,216
Santo Hipólito,1052,41,49,8,577,399
Santos Dumont,14802,156,306,35,7122,2041
São Bento Abade,1316,11,31,31,983,209
São Brás do Suaçuí,1104,41,31,4,485,297
São Domingos das Dores,1562,60,55,11,1094,670
São Domingos do Prata,5422,97,187,55,2731,1372
São Félix de Minas,1059,43,37,24,626,403
São Francisco,13633,878,1303,590,12481,9382
São Francisco de Paula,1998,53,51,31,1067,365
São Francisco de Sales,2077,43,43,12,974,366
São Francisco do Glória,1619,67,48,42,870,487
São Geraldo,3259,50,81,41,1700,643
São Geraldo da Piedade,1243,58,56,61,883,605
São Geraldo do Baixio,1148,27,41,20,691,338
São Gonçalo do Abaeté,2018,32,82,2,1279,554
São Gonçalo do Pará,3350,75,69,50,1751,596
São Gonçalo do Rio Abaixo,2757,62,113,39,1774,736
São Gonçalo do Sapucaí,7218,119,184,32,4174,1264
São Gotardo,10091,139,136,86,5756,1348
São João Batista do Glória,2310,18,23,13,1041,289
São João da Lagoa,1446,53,109,38,864,620
São João da Mata,906,33,44,5,372,187
São João da Ponte,6635,373,1064,303,5076,4431
São João das Missões,2548,294,605,190,3458,3229
São João del Rei,27747,212,425,77,12368,2395
São João do Manhuaçu,3052,142,184,163,2088,1289
São João do Manteninha,1714,22,37,17,838,334
São João do Oriente,2526,69,66,40,1284,497
São João do Pacuí,1144,58,85,39,847,645
São João do Paraíso,6043,314,589,387,4233,2946
São João Evangelista,4604,168,347,107,2896,1730
São João Nepomuceno,8410,111,189,85,3698,1180
São Joaquim de Bicas,9059,245,399,120,4853,2206
São José da Barra,2065,20,37,8,1168,367
São José da Lapa,5703,59,115,46,3782,984
São José da Safira,1164,58,98,34,925,587
São José da Varginha,1307,26,46,39,803,383
São José do Alegre,1271,19,15,18,675,209
São José do Divino,1174,42,71,23,747,440
São José do Goiabal,1745,20,53,15,949,372
São José do Jacuri,1865,90,200,67,1300,1037
São José do Mantimento,795,20,33,8,481,315
São Lourenço,13919,52,157,35,6556,1349
São Miguel do Anta,2065,61,131,66,1102,604
São Pedro da União,1776,45,52,39,715,406
São Pedro dos Ferros,2570,54,106,13,1529,627
São Pedro do Suaçuí,1656,71,145,26,1009,716
São Romão,2483,91,227,124,2341,1880
São Roque de Minas,2326,35,55,55,1046,560
São Sebastião da Bela Vista,1560,36,48,24,903,309
São Sebastião da Vargem Alegre,933,20,6,8,449,255
São Sebastião do Anta,1715,58,113,53,1296,861
São Sebastião do Maranhão,2930,198,258,107,2430,2043
São Sebastião do Oeste,1849,33,78,27,1007,493
São Sebastião do Paraíso,21018,253,278,143,10711,2440
São Sebastião do Rio Preto,518,10,43,17,276,192
São Sebastião do Rio Verde,682,9,11,0,294,121
São Tiago,3353,70,91,40,1776,630
São Tomás de Aquino,2301,25,42,18,1293,547
São Tomé das Letras,2172,47,84,82,1254,602
São Vicente de Minas,2066,42,53,12,1269,475
Sapucaí-Mirim,1995,58,79,43,1212,528
Sardoá,1505,68,135,62,1189,921
Sarzedo,7359,77,162,84,5216,999
Setubinha,2562,213,389,100,3083,2802
Sem-Peixe,931,8,27,36,387,214
Senador Amaral,1583,21,75,36,1063,540
Senador Cortes,632,9,41,8,373,182
Senador Firmino,2320,69,78,34,1164,558
Senador José Bento,632,3,7,31,211,128
Senador Modestino Gonçalves,1337,35,83,86,883,618
Senhora de Oliveira,1648,60,74,19,962,479
Senhora do Porto,1036,41,90,21,733,611
Senhora dos Remédios,2995,63,80,114,1705,1068
Sericita,2105,151,155,99,1433,993
Seritinga,577,9,27,0,277,126
Serra Azul de Minas,1122,124,131,18,1048,898
Serra da Saudade,290,3,9,5,138,66
Serra dos Aimorés,2685,63,84,37,1796,1049
Serra do Salitre,3287,66,98,73,2031,810
Serrania,2266,44,33,16,1489,481
Serranópolis de Minas,1288,50,58,56,878,727
Serranos,639,11,35,2,330,143
Serro,5699,169,524,306,4540,3287
Sete Lagoas,63749,651,887,446,35380,7991
Silveirânia,737,25,32,7,339,163
Silvianópolis,2024,37,62,29,956,491
Simão Pereira,756,13,50,4,427,240
Simonésia,5466,323,271,422,3644,2643
Sobrália,1829,63,83,61,1069,607
Soledade de Minas,1887,32,47,14,980,418
Tabuleiro,1358,18,38,7,607,235
Taiobeiras,8955,289,519,273,6009,3923
Taparuba,1093,16,31,22,483,242
Tapira,1292,28,77,42,678,291
Tapiraí,665,15,27,17,281,148
Taquaraçu de Minas,1188,11,76,14,693,506
Tarumirim,4597,172,273,118,2624,1535
Teixeiras,3694,80,110,17,1686,834
Teófilo Otoni,41487,918,1380,212,24131,10863
Timóteo,24647,124,259,74,13635,2381
Tiradentes,2365,30,50,23,1110,342
Tiros,2511,33,41,42,1048,401
Tocantins,5112,40,130,64,2515,890
Tocos do Moji,1265,31,28,73,488,298
Toledo,1863,46,53,46,968,523
Tombos,3176,32,84,18,1488,591
Três Corações,22343,228,363,106,13298,3635
Três Marias,8836,150,212,103,5063,1343
Três Pontas,16179,370,211,126,9601,2990
Tumiritinga,1973,57,81,70,1350,809
Tupaciguara,8442,116,139,72,3892,1196
Turmalina,5366,108,222,111,3544,1649
Turvolândia,1524,33,53,40,824,457
Ubá,32492,496,521,237,17112,4159
Ubaí,3014,182,356,138,2784,2257
Ubaporanga,3701,153,125,116,2241,1418
Uberaba,99584,370,970,303,44836,7008
Uberlândia,198156,1375,1994,575,98305,11743
Umburatiba,844,12,32,12,586,259
Unaí,25105,327,470,577,14278,5175
União de Minas,1603,20,33,30,740,271
Uruana de Minas,1060,17,35,12,623,388
Urucânia,2896,59,159,23,1979,999
Urucuia,3071,195,372,89,3468,2837
Vargem Alegre,2064,43,63,27,1120,443
Vargem Bonita,803,4,13,15,345,153
Vargem Grande do Rio Pardo,1186,88,110,43,996,790
Varginha,37844,262,419,112,20153,3463
Varjão de Minas,1960,24,52,17,1212,251
Várzea da Palma,10817,258,498,132,7054,3797
Varzelândia,4856,359,610,306,4514,3911
Vazante,6541,50,43,76,3345,766
Verdelândia,2139,152,315,76,2213,1790
Veredinha,1640,41,72,94,1041,486
Veríssimo,1178,25,32,11,610,324
Vermelho Novo,1458,68,49,41,836,629
Vespasiano,30203,526,774,155,20566,5137
Viçosa,22900,217,473,97,11127,2626
Vieiras,1168,25,48,31,556,310
Mathias Lobato,990,35,80,6,732,453
Virgem da Lapa,3953,201,244,169,2375,1577
Virgínia,2682,54,75,44,1450,848
Virginópolis,3041,87,191,54,1946,1112
Virgolândia,1776,50,111,77,1093,659
Visconde do Rio Branco,12180,161,206,55,6304,1985
Volta Grande,1540,22,91,11,929,499
Wenceslau Braz,789,12,16,8,463,270
