municipio,domicilios,domicilios_crianca_fora_da_escola,domicilios_crianca_com_distorcao_escolar,domicilios_com_trabalho_infantil,criancas_ate_11_anos,criancas_ate_11_anos_pobres_vulneraveis,porcentagem_domicilios_crianca_fora_da_escola,porcentagem_domicilios_crianca_com_atraso_escolar,porcentagem_domicilios_trabalho_infantil,porcentagem_criancas_pobres_vulneraveis,habitantes_aproximacao,gini
Engenheiro Navarro,2062,58,108,51,1391,918,2.8128,5.2376,2.4733,65.9957,6825,0.4304
Entre Folhas,1649,59,54,26,905,491,3.5779,3.2747,1.5767,54.2541,5458,0.4803
Entre Rios de Minas,4306,58,145,38,2190,935,1.3470,3.3674,0.8825,42.6941,14253,0.5007
Ervália,5734,240,247,178,3165,2020,4.1856,4.3076,3.1043,63.8231,18980,0.4654
Esmeraldas,17792,681,880,238,12679,6997,3.8276,4.9460,1.3377,55.1857,58892,0.4437
Espera Feliz,7512,237,285,286,4250,2465,3.1550,3.7939,3.8072,58.0000,24865,0.5093
Espinosa,8542,523,526,376,5808,4541,6.1227,6.1578,4.4018,78.1853,28274,0.4586
Espírito Santo do Dourado,1453,44,20,39,603,322,3.0282,1.3765,2.6841,53.3997,4809,0.3689
Estiva,3430,82,59,114,1657,749,2.3907,1.7201,3.3236,45.2022,11353,0.3957
Estrela Dalva,827,2,40,10,381,193,0.2418,4.8368,1.2092,50.6562,2737,0.5966
Estrela do Indaiá,1233,22,49,9,540,307,1.7843,3.9740,0.7299,56.8519,4081,0.4748
Estrela do Sul,2476,40,63,30,1261,457,1.6155,2.5444,1.2116,36.2411,8196,0.4473
Eugenópolis,3620,56,82,29,1636,617,1.5470,2.2652,0.8011,37.7139,11982,0.4578
Ewbank da Câmara,1092,0,14,0,688,127,0.0000,1.2821,0.0000,18.4593,3615,0.3693
Extrema,9160,71,138,21,4781,1025,0.7751,1.5066,0.2293,21.4390,30320,0.4015
Fama,822,17,24,12,343,155,2.0681,2.9197,1.4599,45.1895,2721,0.4685
Faria Lemos,1127,13,37,26,596,310,1.1535,3.2831,2.3070,52.0134,3730,0.5150
Felício dos Santos,1494,53,195,69,1082,901,3.5475,13.0522,4.6185,83.2717,4945,0.4627
Felisburgo,2053,67,182,59,1362,798,3.2635,8.8651,2.8738,58.5903,6795,0.5288
Felixlândia,4561,90,268,71,2578,1594,1.9733,5.8759,1.5567,61.8309,15097,0.4600
Fernandes Tourinho,983,28,44,4,549,283,2.8484,4.4761,0.4069,51.5483,3254,0.4209
Ferros,3409,147,231,77,2001,1680,4.3121,6.7762,2.2587,83.9580,11284,0.5258
Fervedouro,3121,113,230,67,2181,1588,3.6206,7.3694,2.1467,72.8106,10331,0.4825
Florestal,2059,28,72,25,1091,405,1.3599,3.4968,1.2142,37.1219,6815,0.4861
Formiga,21841,214,162,94,9219,1493,0.9798,0.7417,0.4304,16.1948,72294,0.4900
Formoso,2250,102,158,103,1759,1301,4.5333,7.0222,4.5778,73.9625,7448,0.5614
Fortaleza de Minas,1391,28,28,9,733,232,2.0129,2.0129,0.6470,31.6508,4604,0.4256
Fortuna de Minas,822,9,18,14,469,236,1.0949,2.1898,1.7032,50.3198,2721,0.4255
Francisco Badaró,2823,91,237,95,1711,1326,3.2235,8.3953,3.3652,77.4985,9344,0.4689
Francisco Dumont,1506,88,83,16,1020,746,5.8433,5.5113,1.0624,73.1373,4985,0.4495
Francisco Sá,7212,232,366,164,4855,3313,3.2169,5.0749,2.2740,68.2389,23872,0.5353
Franciscópolis,1667,82,162,71,1253,846,4.9190,9.7181,4.2591,67.5180,5518,0.5096
Frei Gaspar,1710,65,140,36,1260,875,3.8012,8.1871,2.1053,69.4444,5660,0.4375
Frei Inocêncio,2733,45,165,39,1877,920,1.6465,6.0373,1.4270,49.0144,9046,0.4710
Frei Lagonegro,904,60,122,8,659,560,6.6372,13.4956,0.8850,84.9772,2992,0.5062
Fronteira,4673,64,59,79,2748,582,1.3696,1.2626,1.6906,21.1790,15468,0.4488
Fronteira dos Vales,1407,58,65,28,973,631,4.1222,4.6198,1.9900,64.8510,4657,0.4609
Fruta de Leite,1592,152,191,64,1467,1286,9.5477,11.9975,4.0201,87.6619,5270,0.4796
Frutal,18219,180,272,105,8491,2414,0.9880,1.4929,0.5763,28.4301,60305,0.4830
Funilândia,1203,34,50,3,749,370,2.8263,4.1563,0.2494,49.3992,3982,0.4631
Galiléia,2292,63,64,41,1328,619,2.7487,2.7923,1.7888,46.6114,7587,0.5090
Gameleiras,1485,54,97,35,936,782,3.6364,6.5320,2.3569,83.5470,4915,0.5062
Glaucilândia,854,24,22,3,541,382,2.8103,2.5761,0.3513,70.6100,2827,0.4418
Goiabeira,1058,19,26,9,579,241,1.7958,2.4575,0.8507,41.6235,3502,0.4867
Goianá,1215,6,35,15,582,242,0.4938,2.8807,1.2346,41.5808,4022,0.4705
Gonçalves,1383,16,37,27,690,385,1.1569,2.6753,1.9523,55.7971,4578,0.4581
Gonzaga,1529,60,111,34,1186,775,3.9241,7.2596,2.2237,65.3457,5061,0.5130
Gouveia,3377,71,138,30,1910,863,2.1025,4.0865,0.8884,45.1832,11178,0.4554
Governador Valadares,83051,830,1509,418,47619,10978,0.9994,1.8170,0.5033,23.0538,274899,0.5377
Grão Mogol,3930,256,421,184,3161,2403,6.5140,10.7125,4.6819,76.0202,13008,0.4816
Grupiara,507,5,8,4,210,62,0.9862,1.5779,0.7890,29.5238,1678,0.4063
Guanhães,9405,225,481,136,5645,2588,2.3923,5.1143,1.4460,45.8459,31131,0.5713
Guapé,4461,51,97,46,2325,941,1.1432,2.1744,1.0312,40.4731,14766,0.3993
Guaraciaba,2977,102,157,111,1552,1122,3.4263,5.2738,3.7286,72.2938,9854,0.4872
Guaraciama,1440,27,23,40,839,453,1.8750,1.5972,2.7778,53.9928,4766,0.4206
Guaranésia,6112,55,125,53,2940,773,0.8999,2.0452,0.8671,26.2925,20231,0.4084
Guarani,2746,74,97,25,1332,618,2.6948,3.5324,0.9104,46.3964,9089,0.4936
Guarará,1269,12,31,7,655,234,0.9456,2.4429,0.5516,35.7252,4200,0.4165
Guarda-Mor,2098,55,75,23,1247,746,2.6215,3.5748,1.0963,59.8236,6944,0.5353
Guaxupé,15800,177,273,81,7545,1632,1.1203,1.7278,0.5127,21.6302,52298,0.4868
Guidoval,2318,41,54,51,1133,418,1.7688,2.3296,2.2002,36.8932,7673,0.3874
Guimarânia,2261,35,73,39,1333,440,1.5480,3.2287,1.7249,33.0083,7484,0.4850
Guiricema,2924,58,55,64,1244,756,1.9836,1.8810,2.1888,60.7717,9678,0.4220
Gurinhatã,2243,57,53,65,924,539,2.5412,2.3629,2.8979,58.3333,7424,0.4896
Heliodora,1986,34,41,6,1048,414,1.7120,2.0645,0.3021,39.5038,6574,0.4136
Iapu,3297,83,89,43,1816,942,2.5174,2.6994,1.3042,51.8722,10913,0.5244
Ibertioga,1551,31,49,18,852,449,1.9987,3.1593,1.1605,52.6995,5134,0.4322
Ibiá,7747,89,110,33,4019,1071,1.1488,1.4199,0.4260,26.6484,25643,0.5166
Ibiaí,2237,106,199,68,1680,1285,4.7385,8.8958,3.0398,76.4881,7404,0.5025
Ibiracatu,1665,72,175,37,1284,999,4.3243,10.5105,2.2222,77.8037,5511,0.5129
Ibiraci,3789,103,93,70,2309,819,2.7184,2.4545,1.8475,35.4699,12542,0.4286
Ibirité,46400,548,905,248,32309,7539,1.1810,1.9504,0.5345,23.3341,153584,0.4501
Ibitiúra de Minas,1168,59,13,16,539,227,5.0514,1.1130,1.3699,42.1150,3866,0.4059
Ibituruna,886,2,21,2,524,131,0.2257,2.3702,0.2257,25.0000,2933,0.4244
Icaraí de Minas,2559,210,244,190,2321,1868,8.2063,9.5350,7.4248,80.4826,8470,0.5059
Igarapé,10491,169,372,69,6790,2650,1.6109,3.5459,0.6577,39.0280,34725,0.4759
Igaratinga,2790,149,100,87,1711,573,5.3405,3.5842,3.1183,33.4892,9235,0.3784
Iguatama,2748,29,71,29,1042,286,1.0553,2.5837,1.0553,27.4472,9096,0.4308
Ijaci,1692,21,22,4,1065,252,1.2411,1.3002,0.2364,23.6620,5601,0.4174
Ilicínea,3646,61,68,42,2067,576,1.6731,1.8651,1.1519,27.8665,12068,0.4000
Imbé de Minas,1923,85,128,80,1283,1039,4.4202,6.6563,4.1602,80.9821,6365,0.4439
Inconfidentes,2253,52,78,32,990,427,2.3080,3.4621,1.4203,43.1313,7457,0.4915
Indaiabira,1944,125,196,73,1470,1209,6.4300,10.0823,3.7551,82.2449,6435,0.4840
Indianópolis,1951,40,92,22,1190,635,2.0502,4.7155,1.1276,53.3613,6458,0.4079
Ingaí,814,27,30,25,453,262,3.3170,3.6855,3.0713,57.8366,2694,0.5229
Inhapim,7726,308,291,331,4374,2737,3.9865,3.7665,4.2842,62.5743,25573,0.5330
Inhaúma,1656,45,78,22,1028,510,2.7174,4.7101,1.3285,49.6109,5481,0.4416
Inimutaba,2056,59,85,19,1185,698,2.8696,4.1342,0.9241,58.9030,6805,0.4267
Ipaba,5079,125,150,73,3546,1375,2.4611,2.9533,1.4373,38.7761,16811,0.4056
Ipanema,6065,95,188,89,3087,1447,1.5664,3.0998,1.4674,46.8740,20075,0.5237
Ipatinga,73726,574,663,198,40334,6223,0.7786,0.8993,0.2686,15.4287,244033,0.5236
Ipiaçu,1420,8,17,5,628,128,0.5634,1.1972,0.3521,20.3822,4700,0.4416
Ipuiúna,3069,83,50,79,1564,788,2.7045,1.6292,2.5741,50.3836,10158,0.5357
Iraí de Minas,2016,63,63,32,1221,419,3.1250,3.1250,1.5873,34.3161,6673,0.4839
Itabira,31930,254,608,241,18078,4523,0.7955,1.9042,0.7548,25.0194,105688,0.5212
Itabirinha,3277,119,134,26,1981,1018,3.6314,4.0891,0.7934,51.3882,10847,0.4904
Itabirito,13419,79,307,52,7655,1366,0.5887,2.2878,0.3875,17.8445,44417,0.4829
Itacambira,1289,97,78,34,952,764,7.5252,6.0512,2.6377,80.2521,4267,0.4992
Itacarambi,4384,259,428,103,4108,2930,5.9078,9.7628,2.3495,71.3242,14511,0.5100
Itaguara,4055,66,62,68,1964,559,1.6276,1.5290,1.6769,28.4623,13422,0.4414
Itaipé,3081,213,426,190,2914,2391,6.9133,13.8267,6.1668,82.0522,10198,0.4875
Itajubá,28495,128,307,44,14321,2526,0.4492,1.0774,0.1544,17.6384,94318,0.5571
Itamarandiba,9106,325,566,366,7284,4419,3.5691,6.2157,4.0193,60.6672,30141,0.5172
Itamarati de Minas,1301,7,37,5,508,170,0.5380,2.8440,0.3843,33.4646,4306,0.3959
Itambacuri,6625,219,539,226,4707,3049,3.3057,8.1358,3.4113,64.7759,21929,0.5228
Itambé do Mato Dentro,694,15,30,5,350,244,2.1614,4.3228,0.7205,69.7143,2297,0.4174
Itamogi,3465,66,71,42,1594,589,1.9048,2.0491,1.2121,36.9511,11469,0.4161
Itamonte,4296,50,158,87,2324,1020,1.1639,3.6778,2.0251,43.8898,14220,0.4702
Itanhandu,4410,51,57,19,2302,481,1.1565,1.2925,0.4308,20.8949,14597,0.5114
Itanhomi,3826,125,114,54,2082,738,3.2671,2.9796,1.4114,35.4467,12664,0.5689
Itaobim,6244,164,624,196,4106,2748,2.6265,9.9936,3.1390,66.9264,20668,0.5140
Itapagipe,4578,69,123,69,1781,626,1.5072,2.6868,1.5072,35.1488,15153,0.4603
Itapecerica,7030,119,114,89,3115,903,1.6927,1.6216,1.2660,28.9888,23269,0.4540
Itapeva,2806,56,88,36,1444,730,1.9957,3.1361,1.2830,50.5540,9288,0.4851
Itatiaiuçu,3078,55,188,35,1829,779,1.7869,6.1079,1.1371,42.5916,10188,0.4099
Itaú de Minas,4803,15,16,9,2331,340,0.3123,0.3331,0.1874,14.5860,15898,0.5678
Itaúna,27122,154,201,151,12943,1748,0.5678,0.7411,0.5567,13.5054,89774,0.4924
Itaverava,1650,60,138,61,1093,837,3.6364,8.3636,3.6970,76.5782,5462,0.4780
Itinga,3790,141,477,110,3156,2303,3.7203,12.5858,2.9024,72.9721,12545,0.5079
Itueta,1860,24,61,35,985,479,1.2903,3.2796,1.8817,48.6294,6157,0.5219
Ituiutaba,32707,172,305,262,14945,3242,0.5259,0.9325,0.8011,21.6929,108260,0.5093
Itumirim,1862,28,30,10,994,401,1.5038,1.6112,0.5371,40.3421,6163,0.5362
Iturama,11403,62,161,52,5877,1227,0.5437,1.4119,0.4560,20.8780,37744,0.4713
Itutinga,1312,15,30,28,627,291,1.1433,2.2866,2.1341,46.4115,4343,0.5592
Jaboticatubas,5482,131,361,85,2974,1928,2.3896,6.5852,1.5505,64.8285,18145,0.5582
Jacinto,3795,90,157,56,2255,1363,2.3715,4.1370,1.4756,60.4435,12561,0.4899
Jacuí,2540,40,72,54,1238,624,1.5748,2.8346,2.1260,50.4039,8407,0.4124
Jacutinga,7217,112,71,77,3889,1028,1.5519,0.9838,1.0669,26.4335,23888,0.4326
Jaguaraçu,906,11,19,6,504,172,1.2141,2.0971,0.6623,34.1270,2999,0.4164
Jaíba,8991,482,665,344,7838,5337,5.3609,7.3963,3.8260,68.0913,29760,0.4676
Jampruca,1505,28,122,44,1002,676,1.8605,8.1063,2.9236,67.4651,4982,0.4841
Janaúba,18617,638,1212,450,13220,8132,3.4270,6.5102,2.4171,61.5129,61622,0.5405
Januária,17603,867,1429,493,14474,10560,4.9253,8.1179,2.8007,72.9584,58266,0.5663
Japaraíba,1202,24,35,33,753,210,1.9967,2.9118,2.7454,27.8884,3979,0.3723
Japonvar,2315,91,120,93,1642,1204,3.9309,5.1836,4.0173,73.3252,7663,0.4662
Jeceaba,1686,25,74,21,805,407,1.4828,4.3891,1.2456,50.5590,5581,0.4810
Jenipapo de Minas,1761,73,238,38,1531,1170,4.1454,13.5150,2.1579,76.4206,5829,0.4589
Jequeri,4088,186,235,83,2198,1449,4.5499,5.7485,2.0303,65.9236,13531,0.5044
Jequitaí,2529,97,137,42,1383,989,3.8355,5.4172,1.6607,71.5112,8371,0.4802
Jequitibá,1590,52,79,75,892,677,3.2704,4.9686,4.7170,75.8969,5263,0.7832
Jequitinhonha,7238,298,666,248,4934,3565,4.1172,9.2014,3.4264,72.2537,23958,0.5509
Jesuânia,1570,36,59,26,710,295,2.2930,3.7580,1.6561,41.5493,5197,0.4862
Joaíma,4166,230,428,175,3364,2286,5.5209,10.2736,4.2007,67.9548,13789,0.5385
Joanésia,1674,37,103,43,849,614,2.2103,6.1529,2.5687,72.3204,5541,0.4999
João Monlevade,22292,147,166,0,11687,2191,0.6594,0.7447,0.0000,18.7473,73787,0.4960
João Pinheiro,13836,469,483,335,8641,3224,3.3897,3.4909,2.4212,37.3105,45797,0.5073
Joaquim Felício,1255,52,96,34,789,518,4.1434,7.6494,2.7092,65.6527,4154,0.5314
Jordânia,3048,121,220,74,2053,1310,3.9698,7.2178,2.4278,63.8091,10089,0.5163
José Gonçalves de Minas,1147,59,97,84,992,697,5.1439,8.4568,7.3235,70.2621,3797,0.4157
José Raydan,1302,46,131,49,854,653,3.5330,10.0614,3.7634,76.4637,4310,0.4902
Josenópolis,1209,109,85,57,1160,799,9.0157,7.0306,4.7146,68.8793,4002,0.4621
Juatuba,6895,62,336,42,4239,1522,0.8992,4.8731,0.6091,35.9047,22822,0.4854
Juiz de Fora,172973,1297,2375,735,75207,13559,0.7498,1.3730,0.4249,18.0289,572541,0.5655
Juramento,1204,30,49,48,787,443,2.4917,4.0698,3.9867,56.2897,3985,0.4324
Juruaia,2847,138,99,174,1504,818,4.8472,3.4773,6.1117,54.3883,9424,0.6452
Juvenília,1515,116,146,22,1289,991,7.6568,9.6370,1.4521,76.8813,5015,0.5434
Ladainha,4306,357,536,192,4189,3704,8.2908,12.4477,4.4589,88.4221,14253,0.5624
Lagamar,2690,25,51,38,1197,402,0.9294,1.8959,1.4126,33.5840,8904,0.5023
Lagoa da Prata,14331,106,130,129,7882,1455,0.7397,0.9071,0.9001,18.4598,47436,0.4607
Lagoa dos Patos,1195,51,115,35,860,637,4.2678,9.6234,2.9289,74.0698,3955,0.4421
Lagoa Dourada,3287,83,137,43,2333,1152,2.5251,4.1679,1.3082,49.3785,10880,0.5345
Lagoa Formosa,5672,75,71,119,2655,839,1.3223,1.2518,2.0980,31.6008,18774,0.5019
Lagoa Grande,2827,74,49,59,1620,865,2.6176,1.7333,2.0870,53.3951,9357,0.5023
Lagoa Santa,15875,328,358,114,9279,2968,2.0661,2.2551,0.7181,31.9862,52546,0.5874
Lajinha,6180,212,264,134,3729,2401,3.4304,4.2718,2.1683,64.3872,20456,0.5123
Lambari,6458,136,169,79,3341,1362,2.1059,2.6169,1.2233,40.7662,21376,0.4933
Lamim,1068,16,75,20,620,462,1.4981,7.0225,1.8727,74.5161,3535,0.4569
Laranjal,2093,33,53,7,912,280,1.5767,2.5323,0.3344,30.7018,6928,0.5139
Lassance,1991,75,161,78,1331,978,3.7670,8.0864,3.9176,73.4786,6590,0.4577
Lavras,29381,110,263,69,14335,2312,0.3744,0.8951,0.2348,16.1284,97251,0.5103
Leandro Ferreira,1038,27,10,9,558,222,2.6012,0.9634,0.8671,39.7849,3436,0.4631
Leme do Prado,1330,16,97,16,962,466,1.2030,7.2932,1.2030,48.4407,4402,0.4129
Leopoldina,16675,133,419,47,8091,2664,0.7976,2.5127,0.2819,32.9255,55194,0.5040
Liberdade,1727,18,57,22,784,361,1.0423,3.3005,1.2739,46.0459,5716,0.6065
Lima Duarte,5477,50,166,32,2570,883,0.9129,3.0309,0.5843,34.3580,18129,0.5921
Limeira do Oeste,2351,16,54,11,1127,491,0.6806,2.2969,0.4679,43.5670,7782,0.4704
Lontra,2335,109,152,61,1663,1159,4.6681,6.5096,2.6124,69.6933,7729,0.5135
Luisburgo,1898,116,72,123,1282,1029,6.1117,3.7935,6.4805,80.2652,6282,0.5200
Luislândia,1700,92,110,53,1444,1173,5.4118,6.4706,3.1176,81.2327,5627,0.5867
Luminárias,1792,28,43,7,941,342,1.5625,2.3996,0.3906,36.3443,5932,0.4085
Luz,5919,74,120,20,2737,770,1.2502,2.0274,0.3379,28.1330,19592,0.5030
Machacalis,2185,82,91,16,1402,696,3.7529,4.1648,0.7323,49.6434,7232,0.4852
Machado,11662,302,194,120,6990,2596,2.5896,1.6635,1.0290,37.1388,38601,0.5218
Madre de Deus de Minas,1527,27,25,6,767,300,1.7682,1.6372,0.3929,39.1134,5054,0.5208
Malacacheta,5522,260,404,142,3765,2546,4.7084,7.3162,2.5715,67.6228,18278,0.5399
Mamonas,1982,53,56,59,962,680,2.6741,2.8254,2.9768,70.6861,6560,0.4603
Manga,5191,244,621,92,4639,3729,4.7004,11.9630,1.7723,80.3837,17182,0.6867
Manhuaçu,24386,532,692,516,16054,6322,2.1816,2.8377,2.1160,39.3796,80718,0.5063
Manhumirim,6917,144,227,130,4078,1868,2.0818,3.2818,1.8794,45.8068,22895,0.4914
Mantena,9155,224,227,108,4698,1514,2.4468,2.4795,1.1797,32.2265,30303,0.5233
Mar de Espanha,3943,74,90,48,1786,533,1.8767,2.2825,1.2173,29.8432,13051,0.4040
Maravilhas,2061,57,93,35,1317,511,2.7656,4.5124,1.6982,38.8003,6822,0.3961
Maria da Fé,4014,61,104,28,2549,1129,1.5197,2.5909,0.6976,44.2919,13286,0.4863
Mariana,16127,145,576,115,9390,2895,0.8991,3.5717,0.7131,30.8307,53380,0.5116
Marilac,1312,32,67,8,866,390,2.4390,5.1067,0.6098,45.0346,4343,0.4673
Mário Campos,3875,62,148,59,2649,1141,1.6000,3.8194,1.5226,43.0729,12826,0.4741
Maripá de Minas,891,21,9,7,429,167,2.3569,1.0101,0.7856,38.9277,2949,0.4235
Marliéria,1257,18,66,12,741,304,1.4320,5.2506,0.9547,41.0256,4161,0.4115
Marmelópolis,911,15,27,27,474,243,1.6465,2.9638,2.9638,51.2658,3015,0.4586
Martinho Campos,4154,104,141,17,2155,1089,2.5036,3.3943,0.4092,50.5336,13750,0.4535
Martins Soares,2208,84,83,72,1479,1048,3.8043,3.7591,3.2609,70.8587,7308,0.4046
Mata Verde,2240,98,171,26,1642,798,4.3750,7.6339,1.1607,48.5993,7414,0.4761
Materlândia,1286,45,122,10,957,706,3.4992,9.4868,0.7776,73.7722,4257,0.4798
Mateus Leme,8600,149,380,78,5133,2111,1.7326,4.4186,0.9070,41.1260,28466,0.5137
Mathias Lobato,990,35,80,6,732,453,3.5354,8.0808,0.6061,61.8852,3277,0.5777
Matias Barbosa,4281,42,129,37,2194,526,0.9811,3.0133,0.8643,23.9745,14170,0.4970
Matias Cardoso,2504,153,331,102,2527,2044,6.1102,13.2188,4.0735,80.8864,8288,0.5709
Matipó,5079,125,293,113,3829,2015,2.4611,5.7689,2.2248,52.6247,16811,0.4889
Mato Verde,4002,103,130,121,2111,1477,2.5737,3.2484,3.0235,69.9668,13247,0.4608
Matozinhos,9963,147,234,38,5977,1642,1.4755,2.3487,0.3814,27.4720,32978,0.4415
Matutina,1403,21,30,11,545,173,1.4968,2.1383,0.7840,31.7431,4644,0.5982
Medeiros,1134,16,22,13,607,309,1.4109,1.9400,1.1464,50.9061,3754,0.4673
Medina,6156,140,472,122,4220,2310,2.2742,7.6673,1.9818,54.7393,20376,0.5871
Mendes Pimentel,2083,57,73,37,1080,657,2.7364,3.5046,1.7763,60.8333,6895,0.4850
Mercês,3331,92,76,52,1698,873,2.7619,2.2816,1.5611,51.4134,11026,0.5890
Mesquita,1811,52,60,34,1005,585,2.8713,3.3131,1.8774,58.2090,5994,0.4773
Minas Novas,7582,471,877,441,6679,5471,6.2121,11.5669,5.8164,81.9135,25096,0.5014
Minduri,1147,28,69,23,653,291,2.4412,6.0157,2.0052,44.5636,3797,0.4902
Mirabela,3771,137,174,94,2549,1863,3.6330,4.6142,2.4927,73.0875,12482,0.4864
Miradouro,3331,55,171,106,1787,913,1.6512,5.1336,3.1822,51.0912,11026,0.5215
Miraí,4209,52,117,67,2310,881,1.2354,2.7798,1.5918,38.1385,13932,0.4561
Miravânia,1189,68,131,57,1052,865,5.7191,11.0177,4.7939,82.2243,3936,0.4892
Moeda,1485,22,91,14,781,459,1.4815,6.1279,0.9428,58.7708,4915,0.4385
Moema,2287,50,21,40,1219,366,2.1863,0.9182,1.7490,30.0246,7570,0.3857
Monjolos,690,28,50,3,458,325,4.0580,7.2464,0.4348,70.9607,2284,0.4800
Monsenhor Paulo,2547,53,46,22,1406,442,2.0809,1.8060,0.8638,31.4367,8431,0.4054
Montalvânia,4420,162,352,92,3268,2448,3.6652,7.9638,2.0814,74.9082,14630,0.5439
Monte Alegre de Minas,6861,106,211,103,3154,1216,1.5450,3.0754,1.5012,38.5542,22710,0.4905
Monte Azul,6983,193,314,224,3297,2278,2.7639,4.4966,3.2078,69.0931,23114,0.5191
Monte Belo,4368,80,63,48,2037,849,1.8315,1.4423,1.0989,41.6789,14458,0.4575
Monte Carmelo,15149,85,241,52,7889,1913,0.5611,1.5909,0.3433,24.2490,50143,0.4979
Monte Formoso,1230,76,135,48,1297,1061,6.1789,10.9756,3.9024,81.8042,4071,0.5906
Monte Santo de Minas,7245,108,183,55,3255,1199,1.4907,2.5259,0.7591,36.8356,23981,0.4233
Monte Sião,7060,124,153,161,3358,1095,1.7564,2.1671,2.2805,32.6087,23369,0.4478
Montes Claros,105295,1091,1761,629,65779,17450,1.0361,1.6724,0.5974,26.5282,348526,0.5391
Montezuma,1897,101,187,102,1641,1173,5.3242,9.8577,5.3769,71.4808,6279,0.4578
Morada Nova de Minas,2843,51,132,30,1433,747,1.7939,4.6430,1.0552,52.1284,9410,0.4569
Morro da Garça,811,22,21,5,524,347,2.7127,2.5894,0.6165,66.2214,2684,0.4732
Morro do Pilar,1069,62,61,18,602,353,5.7998,5.7063,1.6838,58.6379,3538,0.4850
Munhoz,1954,73,63,24,1139,633,3.7359,3.2242,1.2282,55.5751,6468,0.4901
Muriaé,33416,391,564,235,15566,3616,1.1701,1.6878,0.7033,23.2301,110607,0.5167
Mutum,8572,409,343,400,4923,3390,4.7713,4.0014,4.6664,68.8605,28373,0.4960
Muzambinho,6670,80,139,79,3136,1027,1.1994,2.0840,1.1844,32.7487,22078,0.4675
Nacip Raydan,924,33,73,18,621,403,3.5714,7.9004,1.9481,64.8953,3058,0.6059
Nanuque,13061,170,315,75,7599,2954,1.3016,2.4118,0.5742,38.8735,43232,0.5149
Naque,1840,47,71,25,1225,501,2.5543,3.8587,1.3587,40.8980,6090,0.4389
Natalândia,1064,18,48,24,681,303,1.6917,4.5113,2.2556,44.4934,3522,0.4083
Natércia,1609,17,22,15,637,257,1.0566,1.3673,0.9323,40.3454,5326,0.4043
Nazareno,2451,29,23,13,1416,497,1.1832,0.9384,0.5304,35.0989,8113,0.4796
Nepomuceno,8031,184,232,123,4526,1965,2.2911,2.8888,1.5316,43.4158,26583,0.4488
Ninheira,2592,137,362,109,1942,1629,5.2855,13.9660,4.2052,83.8826,8580,0.5275
Nova Belém,1175,32,68,36,728,570,2.7234,5.7872,3.0638,78.2967,3889,0.5147
Nova Era,5238,46,128,33,3038,986,0.8782,2.4437,0.6300,32.4556,17338,0.4740
Nova Lima,24502,147,349,79,12551,1907,0.6000,1.4244,0.3224,15.1940,81102,0.6914
Nova Módica,1174,21,67,16,718,483,1.7888,5.7070,1.3629,67.2702,3886,0.5078
Nova Ponte,3986,49,123,50,2481,687,1.2293,3.0858,1.2544,27.6904,13194,0.5315
Nova Porteirinha,2032,84,128,129,1491,1126,4.1339,6.2992,6.3484,75.5198,6726,0.4077
Nova Resende,4975,266,103,194,2811,1697,5.3467,2.0704,3.8995,60.3700,16467,0.4655
Nova Serrana,22100,396,310,316,14638,2969,1.7919,1.4027,1.4299,20.2828,73151,0.3606
Nova União,1680,16,75,46,986,506,0.9524,4.4643,2.7381,51.3185,5561,0.4223
Novo Cruzeiro,7991,582,918,427,7551,6206,7.2832,11.4879,5.3435,82.1878,26450,0.5383
Novo Oriente de Minas,3026,141,354,118,2099,1528,4.6596,11.6986,3.8995,72.7966,10016,0.5621
Novorizonte,1420,52,57,26,1029,721,3.6620,4.0141,1.8310,70.0680,4700,0.4386
Olaria,670,13,18,11,280,134,1.9403,2.6866,1.6418,47.8571,2218,0.4222
Olhos-d'Água,1483,50,114,88,1160,793,3.3715,7.6871,5.9339,68.3621,4909,0.4617
Olímpio Noronha,799,6,21,6,398,116,0.7509,2.6283,0.7509,29.1457,2645,0.4065
Oliveira,12112,187,188,60,6456,1552,1.5439,1.5522,0.4954,24.0397,40091,0.4580
Oliveira Fortes,671,21,19,6,335,204,3.1297,2.8316,0.8942,60.8955,2221,0.4416
Onça de Pitangui,928,31,46,31,594,381,3.3405,4.9569,3.3405,64.1414,3072,0.4376
Oratórios,1285,13,73,8,807,364,1.0117,5.6809,0.6226,45.1053,4253,0.3952
Orizânia,2204,135,210,70,1488,1151,6.1252,9.5281,3.1760,77.3522,7295,0.5562
Ouro Branco,10432,77,272,54,5906,1220,0.7381,2.6074,0.5176,20.6570,34530,0.5211
Ouro Fino,10620,133,145,152,4771,1613,1.2524,1.3653,1.4313,33.8084,35152,0.4623
Ouro Preto,20662,195,586,100,11658,3730,0.9438,2.8361,0.4840,31.9952,68391,0.5109
Ouro Verde de Minas,1713,71,114,37,1231,820,4.1448,6.6550,2.1600,66.6125,5670,0.5188
Padre Carvalho,1406,117,98,80,1457,1076,8.3215,6.9701,5.6899,73.8504,4654,0.4454
Padre Paraíso,5016,258,471,170,4060,2723,5.1435,9.3900,3.3892,67.0690,16603,0.5510
Pai Pedro,1640,103,124,33,1218,957,6.2805,7.5610,2.0122,78.5714,5428,0.4678
Paineiras,1688,33,73,29,648,379,1.9550,4.3246,1.7180,58.4877,5587,0.4626
